Index,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,07/31/02,Thermopolis,WY,43.7,-108.4,1,0
2,07/31/02,cincinnati,OH,39.1,-84.5,1,0
3,07/30/02,Montague,NJ,41.3,-74.7,1,0
4,07/28/02,Summerville,GA,34.5,-85.3,1,0
5,07/28/02,Summerville,GA,34.5,-85.3,1,0
6,07/28/02,stockton,NJ,40.4,-75,1,0
7,07/27/02,Oak Park,IL,41.9,-87.8,1,0
8,07/25/02,Bellefontaine,OH,40.4,-83.8,1,0
9,07/25/02,Woodbridge,NJ,40.3,-74.2,1,0
10,07/25/02,Kewaunee,WI,44.4,-87.6,1,0
11,07/25/02,Grand Island,NE,40.9,-98.3,1,0
12,07/24/02,Lemont,IL,41.7,-88,1,0
13,07/24/02,Naperville,IL,41.8,-88.1,1,0
14,07/24/02,Palatine,IL,42.1,-88.1,1,0
15,07/23/02,Minden,ON,44.6,-78.4,1,0
16,07/23/02,Bellefontaine,OH,40.4,-83.8,1,0
17,07/22/02,Downers Grove,IL,41.8,-88,1,0
18,07/22/02,San Pedro,CA,33.7,-118.3,1,0
19,07/21/02,Cincinnati,OH,39.1,-84.5,1,0
20,07/21/02,Lemont,IL,41.7,-88,1,0
21,07/20/02,Madison,WI,43.1,-89.4,1,0
22,07/19/02,Lemont,IL,41.7,-88,1,0
23,07/18/02,Hancock,MI,47.2,-88.5,1,0
24,07/16/02,Deerfield,IL,42.2,-87.9,1,0
25,07/16/02,Beaver Falls,PA,40.8,-80.4,1,0
26,07/15/02,Greenfield,IN,39.8,-85.8,1,0
27,07/15/02,Greenfield,IN,39.8,-85.8,1,0
28,07/14/02,Thornville,OH,39.9,-82.4,1,0
29,07/13/02,Albany,OR,44.6,-123.1,1,0
30,07/13/02,Albany,OR,44.6,-123.1,1,0
31,07/13/02,Kewanee,IL,41.2,-90,1,0
32,07/12/02,Albany,OR,44.6,-123.1,1,0
33,07/11/02,Yorktown,VA,37.2,-76.6,1,0
34,07/10/02,Wheaton,IL,41.9,-88.1,1,0
35,07/09/02,Cadillac,MI,44.2,-85.5,1,0
36,07/07/02,Laingsburg,MI,42.9,-84.4,1,0
37,07/07/02,Blairsville,PA,40.5,-79.2,1,0
38,07/06/02,Leesburg,VA,39.1,-77.6,1,0
39,07/04/02,Bluemont,VA,39.1,-77.8,1,0
40,07/04/02,Hancock,WI,44.1,-89.3,1,0
41,07/04/02,Deerfield,IL,42.2,-87.9,1,0
42,07/03/02,Haliburton,ON,45,-78.3,1,0
43,07/02/02,Poughkeepsie,NY,41.7,-73.9,1,0
44,06/30/02,Blaine,WA,49,-122.7,1,0
45,06/29/02,Corning,CA,39.9,-122.2,1,0
46,06/26/02,Zanesville,OH,40,-82,1,0
47,06/26/02,Seymour,IN,38.9,-85.9,1,0
48,06/25/02,Coreys (Tupper Lake),NY,44.2,-74.3,1,0
49,06/25/02,Carthage,NY,44,-75.6,1,0
50,06/24/02,Jamestown,NY,42.1,-79.3,1,0
51,06/23/02,Blanca,CO,37.4,-105.6,1,0
52,06/21/02,Cedarville,MI,46,-84.3,1,0
53,06/21/02,"Omaha,",NE,41.2,-96.1,1,0
54,06/21/02,Wardsboro,VT,43,-72.8,1,0
55,06/21/02,Bridgton,ME,44,-70.7,1,0
56,06/20/02,Madison,WI,43.1,-89.4,1,0
57,06/20/02,Rockland,ON,45.3,-75.2,1,0
58,06/19/02,Ottawa Lake,MI,41.8,-83.7,1,0
59,06/19/02,Santa Cruz,CA,37.1,-122.2,1,0
60,06/18/02,Union Grove,WI,42.7,-88,1,0
61,06/18/02,Goshen,CT,41.9,-73.2,1,0
62,06/17/02,Gorham,ME,43.7,-70.5,1,0
63,06/16/02,Milwaukee,WI,43,-87.9,1,0
64,06/16/02,Rolla,ND,48.9,-99.6,1,0
65,06/16/02,Ada,MI,43,-85.5,1,0
66,06/14/02,Waukesha,WI,43,-88.2,1,0
67,06/14/02,Elliot Lake,ON,46.4,-82.6,1,0
68,06/13/02,Townshend,VT,43.1,-72.7,1,0
69,06/13/02,Mechanic Falls,ME,44.1,-70.4,1,0
70,06/12/02,Moravian Falls,NC,36.1,-81.1,1,0
71,06/12/02,Urbana,IL,40.1,-88.2,1,0
72,06/12/02,Burdett,NY,42.4,-76.8,1,0
73,06/11/02,Greenfield,WI,43,-87.9,1,0
74,06/10/02,DeLancey,NY,40.9,-73.7,1,0
75,06/10/02,Vassalboro,ME,44.4,-69.7,1,0
76,06/10/02,Auburn,NY,42.9,-76.6,1,0
77,06/10/02,Lemont,IL,41.7,-88,1,0
78,06/10/02,Marquette,MI,46.5,-87.4,1,0
79,06/10/02,Dayton,OH,39.8,-84.2,1,0
80,06/10/02,Baileys Harbor,WI,45.1,-87.2,1,0
81,06/09/02,Rochester,NY,43.2,-77.6,1,0
82,06/09/02,Mactier,ON,45.1,-79.5,1,0
83,06/09/02,Toronto,ON,43.4,-79.3,1,0
84,06/09/02,Bumbletown,MI,47.3,-88.4,1,0
85,06/09/02,Grayslake,IL,42.3,-88,1,0
86,06/08/02,Downers Grove,IL,41.8,-88,1,0
87,06/08/02,Hecla,SD,45.9,-98.2,1,0
88,06/08/02,Orangeville,ON,43.6,-80.1,1,0
89,06/08/02,Fort Wayne,IN,41.1,-85.2,1,0
90,06/07/02,Auburn,IN,41.3,-85,1,0
91,06/07/02,Cameron,WI,45.4,-91.7,1,0
92,06/07/02,Minot,ME,44.1,-70.3,1,0
93,06/07/02,Toronto,ON,43.4,-79.3,1,0
94,06/07/02,Gowganda,ON,47.4,-80.5,1,0
95,06/06/02,King of Prussia,PA,40.1,-75.4,1,0
96,06/06/02,Beloit,WI,42.5,-89.1,1,0
97,06/06/02,Park Falls,WI,46,-90.3,1,0
98,06/06/02,Madison,WI,43.1,-89.4,1,0
99,06/06/02,Rainy River,ON,48.4,-94.3,1,0
100,06/05/02,Aurora,SD,44.3,-96.7,1,0
101,06/05/02,Sewaren,NJ,40.6,-74.3,1,0
102,06/05/02,Jamestown,ND,46.9,-98.7,1,0
103,06/05/02,Houghton,MI,47.1,-88.6,1,0
104,06/04/02,Naperville,IL,41.8,-88.1,1,0
105,06/04/02,Bemidji,MN,47.5,-94.7,1,0
106,06/04/02,New London,MN,45.3,-94.9,1,0
107,06/04/02,Port Hope,ON,43.6,-78.2,1,0
108,06/03/02,monroe,OH,39.4,-84.4,1,0
109,06/02/02,Wausau,WI,45,-89.7,1,0
110,06/02/02,Springfield,NJ,40.7,-74.3,1,0
111,06/02/02,Southport,CT,41.1,-73.3,1,0
112,06/02/02,South Lyon,MI,42.4,-83.7,1,0
113,06/02/02,Custer State Park,SD,43.5,-103.4,1,0
114,06/01/02,Janesville,WI,42.7,-89.1,1,0
115,06/01/02,Green Bay,WI,44.5,-88,1,0
116,06/01/02,Windsor,CT,41.9,-72.7,1,0
117,06/01/02,Goffstown,NH,43.1,-71.6,1,0
118,06/01/02,Bedford Hills,NY,41.2,-73.7,1,0
119,06/01/02,Grand Rapids,MI,43,-85.7,1,0
